Dish Name,Country,Type,Meal,Priority,Cook Status,Availability,Cooking Time,Difficulty,URL,Ingredients (list),Ingredient Count,Intermediates (list),Intermediate Count
Chicken curry,Indian,Lunch,Curry,Medium,Planned,❌ Unavailable,,,,Tomato (Gaba); Garam Masala; Turmeric Powder; Chicken (もも肉); Tomato (Kagome); Chilli Powder,6,Frozen japanese Rice,1
Mapo Tofu (Veg),Chinese,Lunch,Cooked Food,Low,Not planned,❌ Unavailable,,,,Tofu,1,Chili Oil,1
🌭🍗 Fried Rice,Chinese,Lunch,Rice based,Medium,In Progress,❌ Unavailable,,,,(none),0,Garlic Oil; Refrigerated Basmati rice,2
Shabu shabu spinach,Japanese,Dinner,Soup,High,In Progress,❌ Unavailable,,,,Chinese black vinegar; Chinese seafood soya sauce; ポン酢; ごましゃぶ; Pork shabu shabu,5,(none),0
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,えのき茸; 舞茸; 生椎茸; Rice; Soy Sauce; Mirin; Sake; Salt; ごま油; White mushroom,10,(none),0
ラーメン🍜,Japanese,Dinner,Rice based,High,Planned,❌ Unavailable,,,,Komatsuna,1,(none),0
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Orange; Powder sugar; Unsalted butter; Vanilla essence; White sugar; Potato starch; Salad Oil; Eggs; Baking powder; Vegetable oil,10,(none),0
焼きそば,Japanese,Lunch,Rice based,Medium,Not planned,⚠️ No ingredients linked,,,,(none),0,(none),0
Fudgy Brownie,Cake British,Dessert,Cake,High,✅ Cooked,✅ Available,,,,Unsalted butter; Brown sugar; Eggs; Chocolates; Cocoa powder; Flour; Dark chocolate; Vanilla essence; Salt,9,(none),0
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Basmati rice; Garlic; Ginger; Onion; Coriender; Cumin Seeds; Fennel Seeds; Coriander Seeds; Cloves; Pepper; Cardamom; Mace; Cinnamon; Star anise; Green Chilies; Salt; Carrot; Beans; Cauliflower; Green peas; Potato; Tomato (Kagome); Paneer; Garam Masala; Ghee; Long pepper,26,(none),0
ニラ卵,Chinese,Lunch,Rice based,Medium,✅ Cooked,✅ Available,,,,Nira; 小ネギ; Eggs; ナンプラ,4,(none),0
🍍🍎🍓🍇🍒 bento,Dessert,Breakfast,,High,✅ Cooked,❌ Unavailable,,,,Pineapple; Strawberry; Orange; Apple (山梨県); Figs; Grapes; Kaki; Pear; Pomegranate,9,(none),0
Myanmar salad,Myanmar,Dinner,,Medium,Planned,❌ Unavailable,,,,Cabbage; Capsicum; Peanuts; Tomato (Gaba); ナンプラ; Thai seasoning sauce; Lemon; Lemon zest; Tomato (Kagome),9,Chopped 小ねぎ🪴; Fried chicken,2
☕ Cinnamon Streusel Coffee Cake,Cake American,Dessert,Cake,Medium,Not planned,✅ Available,,,,Cinnamon (Shri lankan),1,(none),0
🍲 ကြက်ပေါင်းဟင်းရည်  (Kyat Paung Hin Yay) (Chicken stew),Myanmar,Dinner,Soup,High,✅ Cooked,❌ Unavailable,2 hours 10 min total,🧑‍🍳 Intermediate / Home cook,,Chicken (with bones); 長ネギ; Ginger; Garlic; Salt; ナンプラ; Green Chilies; Chinese seafood soya sauce; Shallot,9,(none),0
Cream Stew Pasta,Italian,Dinner,,Low,In Progress,❌ Unavailable,,,,Cream stew; Milk; Butter; Garlic; Brown mushroom; White mushroom; Chicken (もも肉); Black paper powder; Salt; Spagetti; Parmesan cheese; Parsley; Soy Sauce; Chilli flakes; Corn; Spinach; Broccoli; Lemon zest; Pork shabu shabu; Shichimi togarashi,20,(none),0
ကြက်ပေါင်းဟင်းရည် (Chicken stew) updated,Myanmar,Dinner,Soup,Low,Planned,❌ Unavailable,2 hours 10 min total,🧑‍🍳 Intermediate / Home cook,,Chicken (with bones); Onion; 長ネギ; Ginger; Garlic; Salt; ナンプラ; Green Chilies,8,(none),0
Chinese Spiced Bone Broth (清汤 / 香料骨头汤),Chinese,Lunch,,Medium,Planned,⚠️ No ingredients linked,,,,(none),0,(none),0
Burmese Kyat Thar Hinn,Myanmar,Lunch,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Burmese Lemongrass Chicken,Myanmar,Lunch,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Cabbage Thoke,Myanmar,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Tomato Thoke,Myanmar,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Ginger Thoke,Myanmar,,,,,⚠️ No ingredients linked,"Spicy , Aromatic, Traditional Myanmar salad",,,(none),0,(none),0
Lahpet Thoke (Tea Leaf Salad),Myanmar,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Thai Lime–Garlic Cabbage Salad,Thai,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Cucumber Peanut Salad,Myanmar,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Spinach Thoke,Myanmar,,,,Planned,✅ Available,,,,Spinach; Onion; Green Chilies; Coriender; Garlic; Peanuts; ごま; ナンプラ; Lemon; Brown sugar; Salt; Chilli flakes; Napi,13,(none),0
Tom Kha Gai,Thai,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Thai Green Papaya Salad (Som Tum Thai),Thai,Dinner,,High,✅ Cooked,❌ Unavailable,,,,Green papaya; Beans; Cherry tomato; Peanuts; Dried shrimps; Garlic; Green Chilies; Brown sugar; Lemon; Tamarind; ナンプラ,11,(none),0
Lao Green Papaya Salad (Som Tum Pla Ra),Thai,,,,,⚠️ No ingredients linked,,,,(none),0,(none),0
Samposha,Shri lankan,Dessert,Laddoo,Medium,Not planned,⚠️ No ingredients linked,,,,(none),0,(none),0
Sweet Potato & Tuna Pilaf (さつまいもとツナのピラフ),Japanese,Lunch,,Medium,Planned,❌ Unavailable,,,,sweet potato; Tuna can; Onion; Unsalted butter; Salt; Black pepper; Parsley; Soy Sauce,8,(none),0
